Ticker,Field,Value,End Date,Scrape Date
JNJ,Operating Income,6666000000,2021-30-09,2021-12-06
JNJ,Operating Income,6258000000,2021-30-06,2021-12-06
JNJ,Operating Income,6648000000,2021-31-03,2021-12-06
JNJ,Operating Income,4172000000,2020-31-12,2021-12-06
JNJ,Operating Income,5839000000,2020-30-09,2021-12-06
JNJ,Retained Earnings,121092000000,2021-30-09,2021-12-06
JNJ,Retained Earnings,120154000000,2021-30-06,2021-12-06
JNJ,Retained Earnings,116508000000,2021-31-03,2021-12-06
JNJ,Retained Earnings,113890000000,2020-31-12,2021-12-06
JNJ,Retained Earnings,114831000000,2020-30-09,2021-12-06
JNJ,Net Income from Continuing Operations,3667000000,2021-30-09,2021-12-06
JNJ,Net Income from Continuing Operations,6278000000,2021-30-06,2021-12-06
JNJ,Net Income from Continuing Operations,6197000000,2021-31-03,2021-12-06
JNJ,Net Income from Continuing Operations,1738000000,2020-31-12,2021-12-06
JNJ,Net Income from Continuing Operations,3554000000,2020-30-09,2021-12-06
BRK-B,Net Income from Continuing Operations,10644000000,2021-30-09,2021-12-06
BRK-B,Net Income from Continuing Operations,28425000000,2021-30-06,2021-12-06
BRK-B,Net Income from Continuing Operations,11840000000,2021-31-03,2021-12-06
BRK-B,Net Income from Continuing Operations,36130000000,2020-31-12,2021-12-06
BRK-B,Net Income from Continuing Operations,30413000000,2020-30-09,2021-12-06
BRK-B,Retained Earnings,494775000000,2021-30-09,2021-12-06
BRK-B,Retained Earnings,484431000000,2021-30-06,2021-12-06
BRK-B,Retained Earnings,456337000000,2021-31-03,2021-12-06
BRK-B,Retained Earnings,444626000000,2020-31-12,2021-12-06
BRK-B,Retained Earnings,408791000000,2020-30-09,2021-12-06
JPM,Net Income from Continuing Operations,11687000000,2021-30-09,2021-12-06
JPM,Net Income from Continuing Operations,11948000000,2021-30-06,2021-12-06
JPM,Net Income from Continuing Operations,14300000000,2021-31-03,2021-12-06
JPM,Net Income from Continuing Operations,12136000000,2020-31-12,2021-12-06
JPM,Net Income from Continuing Operations,9443000000,2020-30-09,2021-12-06
JPM,Retained Earnings,265276000000,2021-30-09,2021-12-06
JPM,Retained Earnings,256983000000,2021-30-06,2021-12-06
JPM,Retained Earnings,248151000000,2021-31-03,2021-12-06
JPM,Retained Earnings,236990000000,2020-31-12,2021-12-06
JPM,Retained Earnings,228014000000,2020-30-09,2021-12-06
MMM,Operating Income,1868000000,2021-30-09,2021-12-06
MMM,Operating Income,2051000000,2021-30-06,2021-12-06
MMM,Operating Income,2073000000,2021-31-03,2021-12-06
MMM,Operating Income,1846000000,2020-31-12,2021-12-06
MMM,Operating Income,1928000000,2020-30-09,2021-12-06
MMM,Retained Earnings,45361000000,2021-30-09,2021-12-06
MMM,Retained Earnings,44824000000,2021-30-06,2021-12-06
MMM,Retained Earnings,44255000000,2021-31-03,2021-12-06
MMM,Retained Earnings,43761000000,2020-31-12,2021-12-06
MMM,Retained Earnings,43285000000,2020-30-09,2021-12-06
MMM,Net Income from Continuing Operations,1437000000,2021-30-09,2021-12-06
MMM,Net Income from Continuing Operations,1525000000,2021-30-06,2021-12-06
MMM,Net Income from Continuing Operations,1627000000,2021-31-03,2021-12-06
MMM,Net Income from Continuing Operations,1390000000,2020-31-12,2021-12-06
MMM,Net Income from Continuing Operations,1417000000,2020-30-09,2021-12-06
ABBV,Operating Income,4696000000,2021-30-09,2021-12-06
ABBV,Operating Income,4538000000,2021-30-06,2021-12-06
ABBV,Operating Income,4173000000,2021-31-03,2021-12-06
ABBV,Operating Income,4053000000,2020-31-12,2021-12-06
ABBV,Operating Income,3300000000,2020-30-09,2021-12-06
ABBV,Retained Earnings,1600000000,2021-30-09,2021-12-06
ABBV,Retained Earnings,740000000,2021-30-06,2021-12-06
ABBV,Retained Earnings,2292000000,2021-31-03,2021-12-06
